ArrayID	Name	BitVector
IL4R	IL4R:IL4R	100212212212
IL5	IL5:IL5	111111111111
IL5RA	IL5RA:IL5RA	111111111111
IL6	IL6:IL6	000000000222
IL6R	IL6R:IL6R	221101101111
IL9	IL9:IL9	111111111111
INSIG1	INSIG1:INSIG1	001122111001
INSR	INSR:INSR	111111111111
IRF1	IRF1:IRF1	101101111122
IRF2	IRF2:IRF2	111111111111
IRF4	IRF4:IRF4	000122222122
IRF5	IRF5:IRF5	211111111211
IRF8	IRF8:IRF8	000112202222
ISG15	ISG15:ISG15	000200100212
ITGA4	ITGA4:ITGA4	111111111111
ITGA5	ITGA5:ITGA5	112111002001
ITGAL	ITGAL:ITGAL	111101111111
ITGAM	ITGAM:ITGAM	211201211221
ITGAX	ITGAX:ITGAX	211201211101
ITGB1	ITGB1:ITGB1	112101101011
ITGB2	ITGB2:ITGB2	211101211111
ITGB7	ITGB7:ITGB7	101101001212
JAG1	JAG1:JAG1	200212211011
JAK3	JAK3:JAK3	000011011122
JAML	JAML:JAML	222022221000
JUN	JUN:JUN	202222221102
KALRN	KALRN:KALRN	111111111111
KCNAB1	KCNAB1:KCNAB1	111111111111
KIAA0101	KIAA0101:KIAA0101	100221110200
KIF20A	KIF20A:KIF20A	000011020000
KIT	KIT:KIT	212012122101
KITLG	KITLG:KITLG	201212011100
KLF10	KLF10:KLF10	002122212002
KLK3	KLK3:KLK3	111111111111
KLRK1	KLRK1:KLRK1	121112111010
KRBA1	KRBA1:KRBA1	111111111111
LAG3	LAG3:LAG3	000000000222
LAMB2	LAMB2:LAMB2	111111111111
LAMB3	LAMB3:LAMB3	201101110210
LAMP3	LAMP3:LAMP3	000001101222
LAPTM5	LAPTM5:LAPTM5	222122111011
LAT	LAT:LAT	112111011111
LAT2	LAT2:LAT2	122111102222
LDLR	LDLR:LDLR	000000000222
LGALS3	LGALS3:LGALS3	212001010110
LIF	LIF:LIF	000001000222
LIPA	LIPA:LIPA	222002000000
LOXL2	LOXL2:LOXL2	121000010110
LPL	LPL:LPL	120000000000
LRP5	LRP5:LRP5	211111111111
LRP6	LRP6:LRP6	111111111111
LST1	LST1:LST1	221101000110
LTA	LTA:LTA	000000000222
LTA4H	LTA4H:LTA4H	212112111010
LTB	LTB:LTB	000000010222
LTB4R	LTB4R:LTB4R	212111111101
LTB4R2	LTB4R2:LTB4R2	222111111011
MAFF	MAFF:MAFF	111111101122
MALT1	MALT1:MALT1	111111111111
MAN2B1	MAN2B1:MAN2B1	211101111111
MAP2K1	MAP2K1:MAP2K1	111111111111
MAP2K2	MAP2K2:MAP2K2	111111111111
MAP2K3	MAP2K3:MAP2K3	100212111111
MAP2K4	MAP2K4:MAP2K4	111111111111
MAP3K14	MAP3K14:MAP3K14	111111111111
MAP3K4	MAP3K4:MAP3K4	111211111110
MAPK11	MAPK11:MAPK11	100122021221
MAPK12	MAPK12:MAPK12	111111111111
MAPK13	MAPK13:MAPK13	211101212111
MAPK14	MAPK14:MAPK14	111111111111
MARCKSL1	MARCKSL1:MARCKSL1	000222011001
MARCO	MARCO:MARCO	211111111111
MERTK	MERTK:MERTK	222000000000
MET	MET:MET	111111111211
MIF	MIF:MIF	010222222121
MMP1	MMP1:MMP1	100010202102
MMP12	MMP12:MMP12	111111121111
MMP13	MMP13:MMP13	111111111111
MMP19	MMP19:MMP19	220101010110
MMP8	MMP8:MMP8	111111111111
MMP9	MMP9:MMP9	220002112020
MOK	MOK:MOK	211211112111
MPEG1	MPEG1:MPEG1	222001000000
MPO	MPO:MPO	020000000010
MRC1	MRC1:MRC1	222012122000
MRC2	MRC2:MRC2	000022020000
MS4A1	MS4A1:MS4A1	212002101211
MSC	MSC:MSC	010001010122
MSH2	MSH2:MSH2	121101111211
MX1	MX1:MX1	000200000212
MX2	MX2:MX2	100100000212
MYC	MYC:MYC	010222212221
MYD88	MYD88:MYD88	111111011112
MYH4	MYH4:MYH4	111111111111
MYOD1	MYOD1:MYOD1	200200110111
NAMPT	NAMPT:NAMPT	100112211222
NCF2	NCF2:NCF2	222001011211
NCOR1	NCOR1:NCOR1	111111111110
NDC80	NDC80:NDC80	000221021200
NDUFA7	NDUFA7:NDUFA7	111111111111
NFATC1	NFATC1:NFATC1	111112211110
NFATC2	NFATC2:NFATC2	112111111111
NFIL3	NFIL3:NFIL3	020212221222
NFKB1	NFKB1:NFKB1	000212212222
NFKBIA	NFKBIA:NFKBIA	000212212222
NFKBIE	NFKBIE:NFKBIE	101111211112
NFKBIZ	NFKBIZ:NFKBIZ	000111200121
NFYC	NFYC:NFYC	121111111111
NGF	NGF:NGF	111111111111
NKG7	NKG7:NKG7	111111211111
NLRP3	NLRP3:NLRP3	202212121121
NMB	NMB:NMB	110221121011
NOD1	NOD1:NOD1	121111110111
NOD2	NOD2:NOD2	111210111111
NOS2	NOS2:NOS2	211211111111
NOX1	NOX1:NOX1	111111111111
NOX3	NOX3:NOX3	111111111111
NOX4	NOX4:NOX4	111111111111
NR1H3	NR1H3:NR1H3	111111111111
NR2F6	NR2F6:NR2F6	111111111110
NR4A2	NR4A2:NR4A2	100222212010
NRIP3	NRIP3:NRIP3	100200201101
OLR1	OLR1:OLR1	202202101000
OSM	OSM:OSM	000100000221
P2RX1	P2RX1:P2RX1	111111111111
PBX1	PBX1:PBX1	211111111111
PBX3	PBX3:PBX3	221111111110
PDCD1	PDCD1:PDCD1	220200110110
PDCD1LG2	PDCD1LG2:PDCD1LG2	111111111121
PDE4A	PDE4A:PDE4A	000101101221
PDGFA	PDGFA:PDGFA	000000002100
PDGFB	PDGFB:PDGFB	111111111111
PDGFRA	PDGFRA:PDGFRA	111111111111
PDZK1IP1	PDZK1IP1:PDZK1IP1	111111111111
PELI1	PELI1:PELI1	001111211011
PF4	PF4:PF4	111111111111
PFDN6	PFDN6:PFDN6	111111011111
PGGT1B	PGGT1B:PGGT1B	111111111111
PGLYRP1	PGLYRP1:PGLYRP1	111111111111
PHLDA2	PHLDA2:PHLDA2	111111111111
PIK3CG	PIK3CG:PIK3CG	112111111011
PIM2	PIM2:PIM2	000222221222
PLAU	PLAU:PLAU	102011002102
PLAUR	PLAUR:PLAUR	111101111121
PPARG	PPARG:PPARG	202222222222
PRG2	PRG2:PRG2	000001211000
PRG3	PRG3:PRG3	111111111111
PRKCA	PRKCA:PRKCA	212111011111
PRKCI	PRKCI:PRKCI	111211111110
PROK2	PROK2:PROK2	002002002002
PROS1	PROS1:PROS1	121211110110
PRRX1	PRRX1:PRRX1	120000000000
PSMB8	PSMB8:PSMB8	111111101211
PSMB9	PSMB9:PSMB9	101001011112
PSME2	PSME2:PSME2	000101000222
PTAFR	PTAFR:PTAFR	221102000121
PTGDR	PTGDR:PTGDR	221111111120
PTGDR2	PTGDR2:PTGDR2	111111111111
PTGDS	PTGDS:PTGDS	210200100100
PTGER2	PTGER2:PTGER2	010001010221
PTGS1	PTGS1:PTGS1	202001000000
PTGS2	PTGS2:PTGS2	000100100221
PTPN14	PTPN14:PTPN14	111111111111
PTPRB	PTPRB:PTPRB	122221121010
PTPRC	PTPRC:PTPRC	111111111111
PTPRK	PTPRK:PTPRK	200100110212
PTX3	PTX3:PTX3	211111111111
RAB20	RAB20:RAB20	220112010010
RAB3D	RAB3D:RAB3D	221000110120
RAD51	RAD51:RAD51	000221010201
RAF1	RAF1:RAF1	111111111111
RAPGEF4	RAPGEF4:RAPGEF4	111111111111
RASAL1	RASAL1:RASAL1	211111011000
RASGRF2	RASGRF2:RASGRF2	120010111110
RETNLB	RETNLB:RETNLB	100000100010
RGS1	RGS1:RGS1	000222212222
RGS6	RGS6:RGS6	220100100110
RHOC	RHOC:RHOC	101222111121
RHOG	RHOG:RHOG	100112111111
RHOJ	RHOJ:RHOJ	111111111111
RICTOR	RICTOR:RICTOR	111111211011
RIPK2	RIPK2:RIPK2	010111211121
RNASE2	RNASE2:RNASE2	111111111111
RNASE3	RNASE3:RNASE3	111111111111
RND3	RND3:RND3	111111111111
ROS1	ROS1:ROS1	111111111111
RUNX2	RUNX2:RUNX2	100001020000
S100A10	S100A10:S100A10	111111111011
S100A4	S100A4:S100A4	212101111111
S100A8	S100A8:S100A8	212001000000
S100A9	S100A9:S100A9	222002000111
S1PR1	S1PR1:S1PR1	222111112001
SAA1	SAA1:SAA1	111111111111
SCIN	SCIN:SCIN	200000000000
SELE	SELE:SELE	111111111111
SELL	SELL:SELL	211202111202
SELP	SELP:SELP	111111111111
SELPLG	SELPLG:SELPLG	112111111101
SEMA4A	SEMA4A:SEMA4A	201222021221
SEMA4B	SEMA4B:SEMA4B	202212112111
SEMA5A	SEMA5A:SEMA5A	111111111111
SEMA6D	SEMA6D:SEMA6D	111111111111
SERPINB2	SERPINB2:SERPINB2	121000100222
SERPINB9	SERPINB9:SERPINB9	100212111212
SERPINE1	SERPINE1:SERPINE1	102222222001
SERPINE3	SERPINE3:SERPINE3	200100100000
SFRP4	SFRP4:SFRP4	111111111111
SGPP1	SGPP1:SGPP1	111111111111
SIGLEC1	SIGLEC1:SIGLEC1	220100010010
SIGLEC5	SIGLEC5:SIGLEC5	211111111111
SIRPA	SIRPA:SIRPA	222002000110
SKI	SKI:SKI	102111101012
SKIL	SKIL:SKIL	102111102102
SLC16A6	SLC16A6:SLC16A6	121111110121
SMAD1	SMAD1:SMAD1	201011121211
SMAD2	SMAD2:SMAD2	111111111111
SMAD7	SMAD7:SMAD7	012001102002
SMARCD3	SMARCD3:SMARCD3	222121010000
SOCS1	SOCS1:SOCS1	000000001222
SOCS2	SOCS2:SOCS2	000221010222
SOCS3	SOCS3:SOCS3	100211111222
SP4	SP4:SP4	111111111121
SPHK1	SPHK1:SPHK1	001112111111
SPRY2	SPRY2:SPRY2	020112112021
SPTBN1	SPTBN1:SPTBN1	211222222100
SQSTM1	SQSTM1:SQSTM1	111111111111
STAB1	STAB1:STAB1	222000000000
STAT1	STAT1:STAT1	100000000222
STAT3	STAT3:STAT3	111111111122
STAT4	STAT4:STAT4	111111111111
STAT5A	STAT5A:STAT5A	000222111111
STAT5B	STAT5B:STAT5B	111222222010
STAT6	STAT6:STAT6	111111111010
STK17A	STK17A:STK17A	112111111011
SYK	SYK:SYK	222101221121
TAP1	TAP1:TAP1	000101101112
TAP2	TAP2:TAP2	100101000112
TAPBP	TAPBP:TAPBP	111111110122
TEP1	TEP1:TEP1	111111010111
TFCP2	TFCP2:TFCP2	111111111111
TGFA	TGFA:TGFA	221111110110
TGFB1	TGFB1:TGFB1	112211102111
TGFBR3	TGFBR3:TGFBR3	121111111121
TGM2	TGM2:TGM2	111111111111
THBD	THBD:THBD	221101201211
TIGIT	TIGIT:TIGIT	220111110221
TIMD4	TIMD4:TIMD4	111111111111
TIMP3	TIMP3:TIMP3	221000000000
TLR1	TLR1:TLR1	222011111010
TLR10	TLR10:TLR10	200100110110
TLR2	TLR2:TLR2	111202101111
TLR3	TLR3:TLR3	121110010121
TLR4	TLR4:TLR4	221000000000
TLR5	TLR5:TLR5	201111110000
TLR6	TLR6:TLR6	222011111010
TLR7	TLR7:TLR7	200100010110
TLR8	TLR8:TLR8	221012010110
TLR9	TLR9:TLR9	201100111110
TM7SF3	TM7SF3:TM7SF3	111211111110
TMEM173	TMEM173:TMEM173	211111111111
TNC	TNC:TNC	111111111111
TNF	TNF:TNF	000012000222
TNFAIP3	TNFAIP3:TNFAIP3	100222211001
TNFAIP6	TNFAIP6:TNFAIP6	210101000221
TNFAIP8	TNFAIP8:TNFAIP8	110112111122
TNFRSF11A	TNFRSF11A:TNFRSF11A	111112212001
TNFRSF12A	TNFRSF12A:TNFRSF12A	101111111112
TNFRSF14	TNFRSF14:TNFRSF14	211111111111
TNFRSF1A	TNFRSF1A:TNFRSF1A	112111011111
TNFRSF1B	TNFRSF1B:TNFRSF1B	110111111122
TNFRSF4	TNFRSF4:TNFRSF4	000011111120
TNFRSF8	TNFRSF8:TNFRSF8	020111111100
TNFRSF9	TNFRSF9:TNFRSF9	000222222222
TNFSF10	TNFSF10:TNFSF10	000010000222
TNFSF4	TNFSF4:TNFSF4	100101001222
TNFSF9	TNFSF9:TNFSF9	000222121011
TOP2A	TOP2A:TOP2A	000222021200
TPSAB1	TPSAB1:TPSAB1	111111111111
TRAF1	TRAF1:TRAF1	000222222222
TRAF2	TRAF2:TRAF2	100111112212
TRAF6	TRAF6:TRAF6	111111111111
TRAFD1	TRAFD1:TRAFD1	000001000222
TREM1	TREM1:TREM1	100200202112
TREM2	TREM2:TREM2	220001000000
TREX1	TREX1:TREX1	100101111211
TSPAN8	TSPAN8:TSPAN8	111111111111
TTK	TTK:TTK	000221021201
TUBA1A	TUBA1A:TUBA1A	111111111111
TUBA4A	TUBA4A:TUBA4A	000211111221
TWISTNB	TWISTNB:TWISTNB	011111211121
TXN	TXN:TXN	000011000222
TXNDC16	TXNDC16:TXNDC16	122111111011
TYROBP	TYROBP:TYROBP	222001111010
USP18	USP18:USP18	000100000212
VAMP2	VAMP2:VAMP2	112111211011
VASP	VASP:VASP	100111001221
VAV1	VAV1:VAV1	111101111111
VAV2	VAV2:VAV2	201021021111
VCAM1	VCAM1:VCAM1	000001121210
VEGFA	VEGFA:VEGFA	020222222110
VEGFC	VEGFC:VEGFC	000221010000
