ProbeID	Name	GSM3722267	GSM3722268	GSM3722269	GSM3722270	GSM3722271	GSM3722272	GSM3722273	GSM3722274	GSM3722275	GSM3722276	GSM3722277	GSM3722278
FCAR	FCAR:FCAR	5.468583317006828	6.229972385112252	5.040015678847879	5.343407822297814	4.321928094887363	4.702103406629387	5.523561956057013	4.926948247949772	5.816087658600206	5.438292851579147	5.71671659170597	5.4063325778217095
FCER1A	FCER1A:FCER1A	6.93793283896709	4.321928094887363	7.214319120800766	5.121015400961366	4.321928094887363	4.770829046032491	4.321928094887363	4.593951283948411	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
FCER2	FCER2:FCER2	5.227278994468321	4.321928094887363	4.495695162624069	4.321928094887363	4.321928094887363	5.275007047499869	4.954196310386876	5.2315092108670465	5.013908845490639	4.790772037862	4.64961545906341	4.43028527297778
FCGR1A	FCGR1A:FCGR1A	6.722192760895903	6.162894799374783	6.232468896288512	4.321928094887363	4.798050514767515	6.151777654732053	4.321928094887363	4.424250286084049	4.682573297347579	4.321928094887363	4.321928094887363	4.321928094887363
FCGR2A	FCGR2A:FCGR2A	8.345449602532186	8.128149025286326	7.910492832288715	6.74537180526597	6.131548329729258	7.4582015247379445	7.016919688407886	6.850624425243047	6.9859557546075095	6.938991438775543	8.09655704225857	7.311521279826131
FCGR2B	FCGR2B:FCGR2B	8.886946370705799	9.34801990922869	7.899175630480513	6.442777659301516	7.529352462991249	8.3015419215175	7.507794640198696	8.539779191698495	7.503348735167504	5.665051614289214	8.038699551305585	5.73308313184512
FCGR3A	FCGR3A:FCGR3A	11.925995710967575	11.65322575839269	12.207719018080375	10.989174495140222	10.80892396546704	11.697293399452	10.77051523894627	10.043915874129429	10.995901381683893	11.611679580586477	12.192135589136571	12.314396310545012
FCN1	FCN1:FCN1	9.73668942688762	9.136914234630144	8.624758908341182	6.9109724516551285	5.909053016759139	8.048323386537815	4.321928094887363	5.746312766425459	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
FGF10	FGF10:FGF10	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
FGF18	FGF18:FGF18	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
FGF2	FGF2:FGF2	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
FGF7	FGF7:FGF7	5.468583317006828	6.414473836430928	4.321928094887363	4.92837032301897	4.321928094887363	4.321928094887363	5.419875930422195	5.1969217338203295	4.483493351284395	4.837943241891027	5.466953337123929	4.321928094887363
FGFR1	FGFR1:FGFR1	6.698774108903683	4.321928094887363	5.841218373923888	8.310703657225108	9.148629105749778	8.105960874046959	7.164203001294126	8.878265537895738	6.87823487911234	5.309976492370556	4.957914598632986	5.25171909260596
FLNB	FLNB:FLNB	7.468420401864552	6.814934885833408	6.510487270468726	8.270622378152966	6.961623328286945	6.9368734618242325	8.401860817978353	7.721987779242066	8.150610446200108	6.112491635741862	6.666756591884804	5.915998851738901
FLRT2	FLRT2:FLRT2	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.424250286084049	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
FLT1	FLT1:FLT1	5.897240425574799	4.321928094887363	4.321928094887363	8.32382039058095	7.854743738995535	7.710737568330672	6.826039958896193	7.67856492951689	6.8370602037586	5.584060534426763	5.615004241635032	4.983221650742669
FLT3	FLT3:FLT3	6.0900065299038175	4.321928094887363	4.864928972289788	4.857980995127573	5.511910748670928	6.016808287686555	6.364922558505775	5.770036138597918	6.236301266827087	5.498570012544256	5.8720899893347935	5.7524810044563734
FN1	FN1:FN1	8.977480283897558	4.321928094887363	8.960378490060272	4.321928094887363	4.321928094887363	5.044831233447812	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
FOSB	FOSB:FOSB	6.81236986597222	4.321928094887363	5.267910280884825	8.393905230738696	5.882153917287012	7.803872797620629	9.369553726721586	4.839455765224629	8.14639047567022	5.638653116466112	4.71699089440494	7.903038270112913
