ProbeID	Ptr	Name	Description
ENSG00000211694	15597	TRGV10	ENST00000390341.2
ENSG00000282610	15663	AC233282.2	ENST00000634093.1
ENSG00000205274	15795	TRBV20OR9-2	ENST00000379435.3
ENSG00000282756	15866	TRBV7-4	ENST00000633313.1
ENSG00000282014	15933	TRBV4-1	ENST00000632713.1
ENSG00000282624	16000	TRBV3-1	ENST00000632422.1
ENSG00000282568	16067	TRBV2	ENST00000632828.1
ENSG00000276465	16132	KIR2DS4	ENST00000615270.1
ENSG00000249730	16199	OR10J4	ENST00000504970.1
ENSG00000196266	16265	OR10J3	ENST00000649616.1
ENSG00000260811	16331	OR4C45	ENST00000568934.1
ENSG00000196383	16397	OR4Q2	ENST00000541415.2
ENSG00000197617	16479	VN1R5	ENST00000472952.3
ENSG00000272532	16561	CYP2D6	ENST00000607853.6
ENSG00000278088	16695	CYP2D7	ENST00000618719.2
ENSG00000274324	16902	KIR2DS4	ENST00000616914.1
ENSG00000227152	16969	OR2T7	ENST00000641557.1
ENSG00000232535	17068	OR5H8	ENST00000394191.3
ENSG00000213439	17133	OR5AC1	ENST00000429239.1
ENSG00000284690	17199	CD300H	ENST00000641710.1
ENSG00000277078	17265	KIR2DS4	ENST00000615996.1
ENSG00000228336	17332	OR9H1P	ENST00000446393.2
ENSG00000285843	17598	AC064853.2	ENST00000649376.1
ENSG00000274714	17668	KIR2DS4	ENST00000611873.1
ENSG00000284622	17735	SCYGR10	ENST00000641246.2
ENSG00000251608	17834	OR12D1	ENST00000514827.2
ENSG00000272395	17900	IFNL4	ENST00000634967.1
ENSG00000182077	17999	PTCHD3	ENST00000642324.1
ENSG00000277518	18215	MUC6	ENST00000627256.2
ENSG00000204872	18455	NAT8B	ENST00000377712.3
ENSG00000283586	18603	GKN3P	ENST00000637675.1
ENSG00000244682	18668	FCGR2C	ENST00000502411.5
ENSG00000221957	18802	KIR2DS4	ENST00000339924.12
ENSG00000211454	18870	AKR7L	ENST00000457194.6
ENSG00000243641	19115	OR13C7	ENST00000424348.1
ENSG00000099984	19181	GSTT2	ENST00000402588.6
ENSG00000275351	19341	KIR2DS4	ENST00000621713.1
ENSG00000276209	19408	KIR2DS4	ENST00000619141.4
ENSG00000176290	19475	OR4K3	ENST00000425829.2
ENSG00000276451	19540	OR10A6	ENST00000622207.2
ENSG00000225997	19606	OR4A8	ENST00000418689.1
ENSG00000266200	19671	PNLIPRP2	ENST00000579578.6
ENSG00000280938	19882	TRARG1	ENST00000626647.1
ENSG00000276380	19948	UBE2NL	ENST00000618570.1
ENSG00000273931	20031	KIR2DS4	ENST00000610808.1
ENSG00000262755	20098	OR8K3	ENST00000573400.1
ENSG00000258597	20163	SERPINA2	ENST00000553483.3
ENSG00000273085	20247	OR52E1	ENST00000445557.1
ENSG00000258806	20313	OR11H7	ENST00000553765.2
ENSG00000176510	20445	OR10AC1	ENST00000439431.3
ENSG00000277281	20620	MUC6	ENST00000627926.2
ENSG00000241356	20874	OR5G3	ENST00000435756.2
ENSG00000272987	20939	OR5AL1	ENST00000440231.1
ENSG00000254658	21005	OR8J2	ENST00000641465.1
ENSG00000281107	21070	OR5G3	ENST00000631283.1
ENSG00000188877	21135	POTEA	ENST00000522175.7
ENSG00000249948	21200	GBA3	ENST00000508166.5
ENSG00000204403	21390	CASP12	ENST00000613512.4
ENSG00000263181	21456	CYP2D7	ENST00000574062.5
ENSG00000262085	21663	OR1P1	ENST00000571766.2
ENSG00000277345	21728	KIR2DS4	ENST00000613379.1
